,word,category,sentiment
278,scarc,negative,-1
279,hasti,negative,-1
280,distast,negative,-1
281,immatur,negative,-1
282,sweet,positive,1
283,groan,negative,-1
284,sensibl,positive,1
285,defend,positive,1
286,crimin,negative,-1
287,devast,negative,-1
288,fret,negative,-1
289,inton,positive,1
290,subject,negative,-1
291,protect,positive,1
292,unclean,negative,-1
293,reorgan,positive,1
294,berserk,negative,-1
295,blatant,negative,-1
296,symphoni,positive,1
297,burdensom,negative,-1
298,berth,positive,1
299,chilli,negative,-1
300,imperson,negative,-1
301,booz,negative,-1
302,sick,negative,-1
303,dun,negative,-1
304,corrupt,negative,-1
305,infami,negative,-1
306,revers,negative,-1
307,drawback,negative,-1
308,allay,positive,1
309,glum,negative,-1
310,grace,positive,1
311,untold,negative,-1
312,apolog,positive,1
313,unsight,negative,-1
314,bastion,positive,1
315,decay,negative,-1
316,blast,negative,-1
317,luck,positive,1
318,foil,negative,-1
319,drainag,negative,-1
320,affirm,positive,1
321,hippi,negative,-1
322,routin,positive,1
323,pneumonia,negative,-1
324,cari,negative,-1
325,patter,negative,-1
326,thrive,positive,1
327,sicken,negative,-1
328,typhoon,negative,-1
329,shark,negative,-1
330,unbelief,negative,-1
331,insepar,positive,1
332,medley,positive,1
333,partnership,positive,1
334,haunt,negative,-1
335,halter,negative,-1
336,shoot,negative,-1
337,virtuous,positive,1
338,ruthless,negative,-1
339,morgu,negative,-1
340,advanc,positive,1
341,offshoot,positive,1
342,benign,positive,1
343,preced,positive,1
344,lovemak,positive,1
345,bloodsh,negative,-1
346,blemish,negative,-1
347,contradict,negative,-1
348,profus,negative,-1
349,player,negative,-1
350,frustrat,negative,-1
351,solid,positive,1
352,contraven,negative,-1
353,expens,negative,-1
354,action,positive,1
355,hallucin,negative,-1
356,shine,positive,1
357,destitut,negative,-1
358,loath,negative,-1
359,oppon,negative,-1
360,slave,negative,-1
361,buxom,positive,1
362,want,negative,-1
363,uninterest,negative,-1
364,disconnect,negative,-1
365,inconsist,negative,-1
366,abort,negative,-1
367,brunt,negative,-1
368,slate,positive,1
369,widespread,positive,1
370,util,positive,1
371,unconsci,negative,-1
372,stolen,negative,-1
373,provid,positive,1
374,suprem,positive,1
375,wri,negative,-1
376,vener,positive,1
377,neighbor,positive,1
378,lack,negative,-1
379,shelter,positive,1
380,environ,positive,1
381,psychosi,negative,-1
382,quail,negative,-1
383,gorg,negative,-1
384,lemma,positive,1
385,masoch,negative,-1
386,noxious,negative,-1
387,wither,negative,-1
388,colonel,positive,1
389,understand,positive,1
390,surpass,positive,1
391,pandem,negative,-1
392,dishonesti,negative,-1
393,stuffi,negative,-1
394,joy,positive,1
395,deleteri,negative,-1
396,smuggl,negative,-1
397,quiz,negative,-1
398,intoler,negative,-1
399,damn,negative,-1
400,leagu,positive,1
401,tortur,negative,-1
402,succeed,positive,1
403,provoc,negative,-1
404,microscopi,positive,1
405,sincer,positive,1
406,emaci,negative,-1
407,mischief,negative,-1
408,flexibl,positive,1
409,damn,negative,-1
410,arid,negative,-1
411,denunci,negative,-1
412,shop,positive,1
413,suicid,negative,-1
414,denounc,negative,-1
415,befit,positive,1
416,shatter,negative,-1
417,obstruct,negative,-1
418,forefath,positive,1
419,nervous,negative,-1
420,apprehens,negative,-1
421,hostil,negative,-1
422,clash,negative,-1
423,retribut,negative,-1
424,augment,positive,1
425,frailti,negative,-1
426,unanim,positive,1
427,quicksilv,negative,-1
428,bombard,negative,-1
429,refus,negative,-1
430,alcohol,negative,-1
431,compliant,positive,1
432,hire,positive,1
433,dismal,negative,-1
434,lacklust,negative,-1
435,displeas,negative,-1
436,detract,negative,-1
437,hush,positive,1
438,illeg,negative,-1
439,unlucki,negative,-1
440,fulfil,positive,1
441,ricketi,negative,-1
442,investig,positive,1
443,tower,positive,1
444,increas,positive,1
445,ridicul,negative,-1
446,ephemeri,positive,1
447,umpir,positive,1
448,slut,negative,-1
449,absolut,positive,1
450,punctual,positive,1
451,dirti,negative,-1
452,anarch,negative,-1
453,provid,positive,1
454,fortun,positive,1
455,ach,negative,-1
456,destroy,negative,-1
457,wimp,negative,-1
458,wan,negative,-1
459,frank,positive,1
460,subvers,negative,-1
461,dear,positive,1
462,rot,negative,-1
463,bold,positive,1
464,auster,negative,-1
465,horrif,negative,-1
466,canari,positive,1
467,reveri,positive,1
468,present,positive,1
469,blockad,negative,-1
470,disapprov,negative,-1
471,trap,negative,-1
472,quash,negative,-1
473,invent,positive,1
474,unavoid,negative,-1
475,cacophoni,negative,-1
476,assert,positive,1
477,elder,positive,1
478,shit,negative,-1
479,peck,positive,1
480,bug,negative,-1
481,countess,positive,1
482,fawn,negative,-1
483,verbos,negative,-1
484,slaughterhous,negative,-1
485,reciproc,positive,1
486,staunch,positive,1
487,iron,negative,-1
488,fortun,positive,1
489,communic,positive,1
490,bolster,positive,1
491,attenu,negative,-1
492,depress,negative,-1
493,determin,positive,1
494,manslaught,negative,-1
495,bicker,negative,-1
496,wane,negative,-1
497,deport,negative,-1
498,affect,positive,1
499,enrich,positive,1
500,brother,positive,1
501,incestu,negative,-1
502,grope,negative,-1
503,incapac,negative,-1
504,accredit,positive,1
505,prosper,positive,1
506,execution,negative,-1
507,destroy,negative,-1
508,decrepit,negative,-1
509,superior,positive,1
510,misrepres,negative,-1
511,fellowship,positive,1
512,scrutini,negative,-1
513,medic,positive,1
514,fallow,negative,-1
515,vomit,negative,-1
516,godsend,positive,1
517,jump,positive,1
518,chloroform,negative,-1
519,splendid,positive,1
520,pride,positive,1
521,distraught,negative,-1
522,ogr,negative,-1
523,fit,negative,-1
524,wreak,negative,-1
525,pure,positive,1
526,imprison,negative,-1
527,articul,positive,1
528,reliabl,positive,1
529,pilot,positive,1
530,scarc,negative,-1
531,independ,positive,1
532,cumbersom,negative,-1
533,sullen,negative,-1
534,fumbl,negative,-1
535,beauti,positive,1
536,litigi,negative,-1
537,lunaci,negative,-1
538,concili,positive,1
539,heret,negative,-1
540,glare,negative,-1
541,strike,negative,-1
542,cafe,positive,1
543,infal,positive,1
544,uniform,positive,1
545,chemist,positive,1
546,weep,negative,-1
547,retrench,negative,-1
548,radioact,negative,-1
549,stiff,negative,-1
550,bloodless,positive,1
551,desir,positive,1
552,ruinous,negative,-1
553,unproduct,negative,-1
554,strength,positive,1
555,ringer,negative,-1
556,growl,negative,-1
557,disord,negative,-1
558,mediocr,negative,-1
559,usurp,negative,-1
560,disbeliev,negative,-1
561,persecut,negative,-1
562,resist,negative,-1
563,cleans,positive,1
564,practic,positive,1
565,bravado,negative,-1
566,perceiv,positive,1
567,zest,positive,1
568,conceal,negative,-1
569,oppos,negative,-1
570,stock,negative,-1
571,savor,positive,1
572,purifi,positive,1
573,inclus,positive,1
574,democraci,positive,1
575,heartili,positive,1
576,vaniti,negative,-1
577,nihil,negative,-1
578,digress,negative,-1
579,celebr,positive,1
580,disengag,negative,-1
581,arrog,negative,-1
582,fashion,positive,1
583,confess,negative,-1
584,riddl,negative,-1
585,save,positive,1
586,gigant,positive,1
587,resili,positive,1
588,irrat,negative,-1
589,humil,positive,1
590,nettl,negative,-1
591,discharg,negative,-1
592,affirm,positive,1
593,interest,positive,1
594,verdant,positive,1
595,stone,negative,-1
596,jovial,positive,1
597,ornament,positive,1
598,departur,negative,-1
599,panier,positive,1
600,bodyguard,positive,1
601,trophi,positive,1
602,pus,negative,-1
603,cramp,negative,-1
604,warranti,positive,1
605,recreat,positive,1
606,reluct,negative,-1
607,kind,positive,1
608,birthday,positive,1
609,harlot,negative,-1
610,disappoint,negative,-1
611,child,positive,1
612,strong,positive,1
613,comfort,positive,1
614,unthink,negative,-1
615,pretti,positive,1
616,harm,negative,-1
617,hardship,negative,-1
618,clown,positive,1
619,jest,positive,1
620,lurk,negative,-1
621,shack,negative,-1
622,medal,positive,1
623,senil,negative,-1
624,sturdi,positive,1
625,heroin,positive,1
626,aberr,negative,-1
627,abject,negative,-1
628,intellig,positive,1
629,invalid,negative,-1
630,default,negative,-1
631,shaki,negative,-1
632,worsen,negative,-1
633,manna,positive,1
634,cautious,positive,1
635,insolv,negative,-1
636,develop,positive,1
637,loath,negative,-1
638,sugar,positive,1
639,vulgar,negative,-1
640,manipul,negative,-1
641,renov,positive,1
642,experienc,positive,1
643,contagion,negative,-1
644,convers,positive,1
645,messi,negative,-1
646,steal,negative,-1
647,blackmail,negative,-1
648,scoff,negative,-1
649,expedi,positive,1
650,rich,positive,1
651,leisur,positive,1
652,forlorn,negative,-1
653,illeg,negative,-1
654,delusion,negative,-1
655,compat,positive,1
656,foe,negative,-1
657,porcupin,negative,-1
658,inspector,positive,1
659,lie,negative,-1
660,good,positive,1
661,absurd,negative,-1
662,actual,positive,1
663,bounti,positive,1
664,belliger,negative,-1
665,horribl,negative,-1
666,detest,negative,-1
667,loud,negative,-1
668,shiver,negative,-1
